"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Ref_ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","yearCategory","Planning_Status_Summary","NearestTurbineBuilt","NearestTurbinePlanned","NearestTurbineRejected","lon","lat","Airports","AONB","ARoads","BRoads","HCoast","HVpowerline","MilitarySites","MinRoads","Motorways","NationalParks","NNR","Powerlines","PrimaryRoads","Railway","RAMSAR","SACS","SPA","SSSI","UrbanLarge","UrbanRegions","UrbanSmall","Slope","UKElevation","WindSpeed45","CensusMerged","AgeTotal","AgeMean","AgeMedian","QualTotal","QualLevel4","QualPercL4","SocGrdTot","SocGrdAB","TenureTotal","TenureOwned","PercOwn","Year","Authority","Code","Type","Council_si","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_sha"
"S_1497",614135,299834,"Bernard Matthews - Wreningham",1,0.5,0.5,"Refused/Abandoned","AA805","18/11/2013","Norfolk","Eastern","England","09/07/2013","","","Small",2013,"2010 Onwards",0,14.9,8.1,12.3,1.15724458947808,52.5541988636452,10.006,34.706,10.576,2.61,39.029,6.07,19.14,0.218,82.22,12.484,17.621,6.071,1.853,2.44,17.621,4.653,17.621,1.383,2.451,1.45,1.45,0.649392008781433,43,6,"E01026920",1134,44.3,48,943,300,32,316,32.6,469,396,84,2013,"South Norfolk",2607,1,46,36,0,8,2,NA,"Con",24,78.2608695652174,0,17.3913043478261,4.34782608695652,NA
"S_1498",331567,740187,"Davidston Farm - resubmission",1,0.33,0.33,"Refused/Abandoned","C1396","06/06/2014","Tayside","Scotland","Scotland","15/04/2013","","","Small",2013,"2010 Onwards",0,6.1,4.4,4.4,-3.11466903047642,56.5486648920297,11.637,24.188,4.929,0.569,106,1.586,10.169,0.517,25.615,26.736,19.467,1.586,9.213,10.755,10.823,5.517,10.824,2.369,8.08,1.765,1.765,6.59707260131836,210,8,"S01000636",521,43.6,47,439,118,27,345,22.6,222,116,52,2013,"Angus",8003,12,29,4,1,1,8,15,"SNP",15,13.7931034482759,3.44827586206897,3.44827586206897,27.5862068965517,51.7241379310345
"S_1499",258743,857269,"Dunvournie Farm Wind Turbine",1,0.5,0.5,"Refused/Abandoned","C1021","15/01/2014","Highland","Scotland","Scotland","30/01/2013","","","Small",2013,"2010 Onwards",0,5.5,5.5,18.2,-4.36425606467839,57.5833001533555,5.84,26.412,3.727,0.498,243.441,4.778,3.28,0.117,143.38,40.616,12.059,4.778,0.052,3.55,1.547,2.521,1.526,0.242,3.193,0.498,0.498,3.08651638031006,95,7,"S01003905",1166,42.7,46,946,388,41,720,33.3,447,383,86,2013,"Highland",8018,12,80,0,8,15,35,22,"NOC",41,0,10,18.75,43.75,27.5
"S_1500",389100,581400,"Buteland House wind turbine",1,0.5,0.5,"Refused/Abandoned","C1138","21/02/2014","Northumberland","North East","England","16/04/2013","","","Small",2013,"2010 Onwards",0,2.5,2.5,2.5,-2.17246963686841,55.1268545083753,29.632,19.199,9.05,3.617,41.232,11.778,24.196,0.252,39.231,4.1,15.836,11.778,1.904,13.704,16.02,11.139,19.301,1.56,16.992,2.28,2.28,0.920297741889954,263,8,"E01027511",1105,45.9,49,966,266,28,335,18.5,495,275,56,2013,"Northumberland",2821,11,67,21,32,11,3,NA,"NOC",34,31.3432835820896,47.7611940298507,16.4179104477612,4.47761194029851,NA
"S_1501",344970,738877,"Mill of Brighty Wind Turbine",1,0.225,0.22,"Refused/Abandoned","B0443","28/01/2013","Tayside","Scotland","Scotland","19/07/2012","","","Small",2012,"2010 Onwards",0,23.4,12.5,12.5,-2.89642477417872,56.5386612570521,11.765,37.609,2.824,2.769,97.053,0.729,8.437,1.039,35.766,32.247,11.323,0.729,2.639,7.772,7.983,4.918,7.986,1.78,5.066,2.555,2.555,4.93707513809204,159,8,"S01000632",539,43.4,45,463,110,24,369,16.5,233,135,58,2012,"Angus",8003,12,29,4,1,1,8,15,"SNP",15,13.7931034482759,3.44827586206897,3.44827586206897,27.5862068965517,51.7241379310345
"S_1502",457017,77727,"Ventnor Golf Club Small Wind Energy Scheme",3,0.22,0.67,"Refused/Abandoned","A0215","05/04/2011","Isle of Wight","South East","England","03/04/2009","","","Small",2009,"Before 2010",0,1.9,1.9,10.2,-1.19578588489252,50.5964920787659,23.781,0.283,0.164,0.342,2.104,13.35,18.026,0.343,25.378,23.454,18.048,13.35,22.025,4.316,9.845,0.191,9.845,0.323,0,0,2.248,10.062611579895,30,NA,"E01017364",1509,47,49,1276,338,26,457,23.2,699,520,74,2009,"Isle of Wight",2121,11,40,24,1,5,10,NA,"Con",21,60,2.5,12.5,25,NA
"S_1503",218692,559668,"BALMESH FARM - 3 WIND TURBINES",3,0.05,0.15,"Refused/Abandoned","C0030","25/09/2014","Dumfries and Galloway","Scotland","Scotland","09/03/2012","","","Small",2012,"2010 Onwards",0,1.2,1.2,13.1,-4.82904944018843,54.8987470640946,8.989,35.817,3.301,3.338,87.68,2.27,15.337,0.341,87.064,95.788,30.56,2.27,2.838,0.742,3.458,2.736,3.461,2.736,10.81,2.02,2.02,2.923264503479,81,7,"S01000916",1046,45.5,49,870,162,19,606,11.4,482,308,64,2012,"Dumfries & Galloway",8008,12,47,14,15,1,7,10,"NOC",24,29.7872340425532,31.9148936170213,2.12765957446809,14.8936170212766,21.2765957446809
"S_1504",515943,472953,"Greenlands Farm",1,0.01,0.01,"Refused/Abandoned","AA029","23/06/2011","North Yorkshire","Yorkshire and Humber","England","22/02/2010","","","Small",2010,"Before 2010",0,8.6,6,6,-0.226743336108846,54.1393418888049,15.112,38.622,4.974,1.112,0.681,5.246,14.37,0.8,50.488,20.56,20.928,5.246,0.499,0.809,44.332,2.049,2.049,2.049,4.108,1.762,1.762,1.19999921321869,104,8,"E01027833",1581,49.1,53,1395,320,23,423,18.2,747,534,71,2010,"Scarborough",2906,1,50,23,4,5,18,NA,"NOC",26,46,8,10,36,NA
"S_1505",458666,400869,"J3 Business Park",1,0.225,0.22,"Refused/Abandoned","C2506","28/04/2014","South Yorkshire","Yorkshire and Humber","England","17/12/2013","","","Small",2013,"2010 Onwards",0,10.3,1.3,1.3,-1.1170359013587,53.5012537222882,6.846,50.914,1.753,2.176,81.653,1.168,22.347,0.054,1.393,30.227,10.305,1.169,0.035,0.201,26.626,10.308,10.476,0.356,0,0,2.254,0.580484509468079,8,6,"E01007534",2022,31.7,30,1584,159,10,821,4.9,916,302,33,2013,"Doncaster",5002,5,63,9,50,3,1,NA,"Lab",32,14.2857142857143,79.3650793650794,4.76190476190476,1.58730158730159,NA
"S_1506",324714,141079,"Castle Hill Quarry",1,0.5,0.5,"Refused/Abandoned","C1628","21/02/2014","Somerset","South West","England","04/06/2013","","","Small",2013,"2010 Onwards",0,32,12.6,12.6,-3.07807656739511,51.1639836627996,30.584,5.487,2.039,3.83,28.463,0.69,9.607,0.804,7.001,16.699,2.077,0.692,7.092,6.673,1.833,1.845,1.845,1.845,5.009,1.177,1.177,0.920297741889954,6,6,"E01029122",1485,43.5,46,1197,332,28,387,25.6,589,467,79,2013,"Sedgemoor",3302,1,48,31,13,2,2,NA,"Con",25,64.5833333333333,27.0833333333333,4.16666666666667,4.16666666666667,NA
