"","Ref_ID","Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","yearCategory","Planning_Status_Summary","NearestTurbineBuilt","NearestTurbinePlanned","NearestTurbineRejected","lon","lat","Airports","AONB","ARoads","BRoads","HCoast","HVpowerline","MilitarySites","MinRoads","Motorways","NationalParks","NNR","Powerlines","PrimaryRoads","Railway","RAMSAR","SACS","SPA","SSSI","UrbanLarge","UrbanRegions","UrbanSmall","Slope","UKElevation","WindSpeed45","CensusMerged","AgeTotal","AgeMean","AgeMedian","QualTotal","QualLevel4","QualPercL4","SocGrdTot","SocGrdAB","TenureTotal","TenureOwned","PercOwn","Year","Authority","Code","Type","Council_si","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_sha","Planning_Status_Code","Airports_Trans","AONB_Trans","ARoads_Trans","BRoads_Trans","HCoast_Trans","HVpowerline_Trans","MilitarySites_Trans","MinRoads_Trans","Motorways_Trans","NationalParks_Trans","NNR_Trans","Powerlines_Trans","PrimaryRoads_Trans","Railway_Trans","RAMSAR_Trans","SACS_Trans","SPA_Trans","SSSI_Trans","UrbanLarge_Trans","UrbanRegions_Trans","UrbanSmall_Trans"
"884","3805","L_0534",385037,854223,"Hillhead of Bonnykelly",2,2.3,4.6,"Refused/Abandoned","17/08/2012","Grampian","Scotland","Scotland","22/12/2010",NA,NA,"Large",2010,"Before 2010",0,4.7,1.4,1.4,-2.25185438152782,57.5778127259504,40.543,76.475,3.474,2.604,197.033,8.786,40.225,0.712,150.24,57.85,27.714,8.787,2.477,30.99,19.833,4.241,10.805,4.214,12.446,1.233,1.233,1.04738521575928,175,9,"S01000522",665,42.4,45,550,130,24,432,13.9,261,231,89,2010,"Aberdeenshire",8002,12,68,13,0,25,8,22,"NOC",35,19.1176470588235,0,36.7647058823529,11.7647058823529,32.3529411764706,0,30,30,3.474,2.604,30,8.786,30,0.712,30,30,27.714,8.787,2.477,30,19.833,4.241,10.805,4.214,12.446,1.233,1.233
"885","3806","L_1611",361419,854774,"Auchinderran Wind Farm",3,0.8,2.4,"Approved","07/01/2015","Grampian","Scotland","Scotland","11/11/2010","01/08/2014","01/12/2014","Large",2010,"Before 2010",1,1.2,1.2,1.8,-2.64683917098429,57.5813566258315,41.837,63.507,1.739,0.914,200.527,8.475,40.227,0.788,141.026,41.265,44.655,8.475,7.554,12.027,27.36,1.807,20.996,1.807,10.629,0.976,0.976,2.68180775642395,134,8,"S01000520",1129,41.6,44,916,175,19,690,13.8,448,360,80,2010,"Aberdeenshire",8002,12,68,13,0,25,8,22,"NOC",35,19.1176470588235,0,36.7647058823529,11.7647058823529,32.3529411764706,1,30,30,1.739,0.914,30,8.475,30,0.788,30,30,30,8.475,7.554,12.027,27.36,1.807,20.996,1.807,10.629,0.976,0.976
"886","3807","L_1247",516489,429822,"The Limes Wind Turbines",2,0.85,1.7,"Approved","22/04/2015","Humberside","Yorkshire and Humber","England","09/05/2011","12/05/2014","15/01/2015","Large",2011,"2010 Onwards",1,9.3,9.3,9.3,-0.234827990512341,53.7517544234632,17.993,24.522,1.71,1.71,26.069,0.272,10.518,0.431,22.008,57.142,15.659,0.273,0.969,1.302,1.669,1.669,1.669,1.669,0.808,0.409,0.409,0,0,7,"E01013096",1674,40.9,42,1368,269,20,509,11.8,700,550,79,2011,"East Riding Of Yorkshire",2021,11,67,53,6,3,5,NA,"Con",34,79.1044776119403,8.95522388059701,4.47761194029851,7.46268656716418,0,1,17.993,24.522,1.71,1.71,26.069,0.272,10.518,0.431,22.008,30,15.659,0.273,0.969,1.302,1.669,1.669,1.669,1.669,0.808,0.409,0.409
"887","3808","L_0992",545510,357600,"Wainfleet Wind Farm",4,3,12,"Refused/Abandoned","22/10/2013","Lincolnshire","East Midlands","England","20/05/2011",NA,NA,"Large",2011,"2010 Onwards",0,19.2,4.7,4.7,0.171658485782728,53.0957733853839,15.007,9.785,10.13,4.202,27.49,0.252,21.097,0.635,66.959,89.446,9.777,0.267,3.414,3.481,6.155,6.155,6.155,6.155,4.161,1.448,1.448,0.290249705314636,2,6,"E01026111",1563,45.1,48,1289,193,15,425,12.7,652,448,69,2011,"East Lindsey",2502,1,60,30,10,2,18,NA,"NOC",31,50,16.6666666666667,3.33333333333333,30,0,0,15.007,9.785,10.13,4.202,27.49,0.252,21.097,0.635,30,30,9.777,0.267,3.414,3.481,6.155,6.155,6.155,6.155,4.161,1.448,1.448
"888","3809","L_1372",375067,859014,"Milton of Fisherie Wind Cluster",2,2.3,4.6,"Approved","28/04/2016","Grampian","Scotland","Scotland","25/05/2011","01/04/2015","01/02/2016","Large",2011,"2010 Onwards",1,8.8,6.4,6.4,-2.41905382533088,57.6204034589374,46.911,74.099,3.661,3.465,202.7,5.312,48.322,0.292,150.098,53.389,37.318,5.312,1.454,25.265,29.273,12.999,7.555,5.299,5.98,1.506,1.506,1.19678127765656,118,8,"S01000526",1000,42.9,46,835,218,26,675,16.6,382,281,74,2011,"Aberdeenshire",8002,12,68,13,0,25,8,22,"NOC",35,19.1176470588235,0,36.7647058823529,11.7647058823529,32.3529411764706,1,30,30,3.661,3.465,30,5.312,30,0.292,30,30,30,5.312,1.454,25.265,29.273,12.999,7.555,5.299,5.98,1.506,1.506
"889","3810","L_1251",268888,651781,"Blantyre Muir Wind Farm",3,3,9,"Approved","25/02/2014","Strathclyde","Scotland","Scotland","16/08/2007",NA,"30/12/2013","Large",2007,"Before 2010",1,15.7,15.7,17.3,-4.09000060571954,55.7416058631422,25.06,41.396,1.93,3.54,129.064,0.692,7.484,0.626,6.088,39.074,3.002,0.696,4.543,4.376,26.518,0.374,16.053,0.374,1.741,1.741,2.022,1.45537233352661,218,8,"S01005804",3934,30.7,33,2828,907,32,2648,29.6,1372,1170,85,2007,"South Lanarkshire",8027,12,67,8,30,2,3,24,"NOC",34,11.9402985074627,44.7761194029851,2.98507462686567,4.47761194029851,35.8208955223881,1,25.06,30,1.93,3.54,30,0.692,7.484,0.626,6.088,30,3.002,0.696,4.543,4.376,26.518,0.374,16.053,0.374,1.741,1.741,2.022
"890","3811","L_0458",358800,644725,"Corsbie Moor Wind Farm",9,3,27,"Refused/Abandoned","06/09/2013","Borders","Scotland","Scotland","29/06/2011",NA,NA,"Large",2011,"2010 Onwards",0,4.9,4.9,11.7,-2.65698207367824,55.6942277236578,3.34,6.674,2.273,3.283,41.047,3.021,17.22,0.451,48.332,28.837,16.853,3.021,2.862,12.688,12.418,2.721,12.436,4.67,11.481,1.115,1.115,5.32527923583984,247,8,"S01005449",984,44.7,47,814,303,37,606,28.9,402,258,64,2011,"Scottish Borders",8005,12,34,11,0,10,7,6,"NOC",18,32.3529411764706,0,29.4117647058824,20.5882352941176,17.6470588235294,0,3.34,6.674,2.273,3.283,30,3.021,17.22,0.451,30,28.837,16.853,3.021,2.862,12.688,12.418,2.721,12.436,4.67,11.481,1.115,1.115
"891","3812","L_0216",375650,831396,"Hill of Easterton Extension 2",1,2.3,2.3,"Refused/Abandoned","25/01/2013","Grampian","Scotland","Scotland","15/06/2011",NA,NA,"Large",2011,"2010 Onwards",0,12.6,0,0,-2.406526034684,57.3723628674097,21.189,53.773,1.249,2.421,175.213,5.645,25.988,0.394,125.728,37.929,23.002,5.647,6.153,6.308,22.639,25.395,22.644,2.955,8.466,0.272,0.272,4.94551563262939,130,8,"S01000448",859,38.1,40,673,213,32,563,28.2,331,252,76,2011,"Aberdeenshire",8002,12,68,13,0,25,8,22,"NOC",35,19.1176470588235,0,36.7647058823529,11.7647058823529,32.3529411764706,0,21.189,30,1.249,2.421,30,5.645,25.988,0.394,30,30,23.002,5.647,6.153,6.308,22.639,25.395,22.644,2.955,8.466,0.272,0.272
"892","3814","L_1256",456786,277685,"Lilbourne Wind Farm",5,2,10,"Approved","22/04/2015","Northamptonshire","East Midlands","England","15/10/2009","18/02/2014","15/12/2014","Large",2009,"Before 2010",1,0.8,0.8,11.3,-1.1669167011345,52.3942486478606,9.173,33.03,4.906,4.913,130.742,0.375,18.459,0.627,0.307,80.62,36.662,0.392,0.62,4.626,27.669,25.191,27.671,2.03,4.442,0.629,0.629,0.65057909488678,100,6,"E01027030",1775,43.6,47,1482,490,33,506,36,731,576,79,2009,"Daventry",2702,1,38,35,1,2,0,NA,"Con",20,92.1052631578947,2.63157894736842,5.26315789473684,0,0,1,9.173,30,4.906,4.913,30,0.375,18.459,0.627,0.307,30,30,0.392,0.62,4.626,27.669,25.191,27.671,2.03,4.442,0.629,0.629
"893","3815","L_0876",521426,413366,"Stallingborough Wind farm",2,3,6,"Refused/Abandoned","31/08/2012","Humberside","Yorkshire and Humber","England","23/07/2008",NA,NA,"Large",2008,"Before 2010",0,12.8,10,10,-0.16642818902915,53.6027961642663,11.676,7.857,1.296,2.556,18.277,0.078,21.929,0.227,16.498,74.308,18.506,0.175,1.044,0.391,1.573,1.572,1.572,1.572,2.278,0.336,0.336,0,0,7,"E01013173",1234,45.1,48,1053,207,20,368,15.5,534,449,84,2008,"North East Lincolnshire",2023,11,42,16,4,20,2,NA,"NOC",22,38.0952380952381,9.52380952380952,47.6190476190476,4.76190476190476,0,0,11.676,7.857,1.296,2.556,18.277,0.078,21.929,0.227,16.498,30,18.506,0.175,1.044,0.391,1.573,1.572,1.572,1.572,2.278,0.336,0.336
